"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.43,0.19787,0.44058,9.4248,0.20292,0.43721,7.4998,1,2.2278,12.908,12.25,6.845
9.4273,0.19888,0.443,9.4219,0.20401,0.4396,7.5298,1,2.2378,12.918,12.25,6.845
9.4244,0.20008,0.44562,9.4189,0.20531,0.44217,7.5634,1,2.2478,12.928,12.25,6.845
9.4214,0.20143,0.44841,9.4158,0.20678,0.44491,7.6,1,2.2579,12.938,12.25,6.845
9.4184,0.20279,0.4512,9.4127,0.20826,0.44765,7.6366,1,2.2679,12.948,12.25,6.845
9.4155,0.20414,0.45399,9.4096,0.20974,0.45039,7.6732,1,2.2779,12.958,12.25,6.845
9.4125,0.2055,0.45678,9.4065,0.21121,0.45313,7.7099,1,2.288,12.968,12.25,6.845
9.4095,0.20685,0.45957,9.4034,0.21269,0.45586,7.7465,1,2.298,12.978,12.25,6.845
9.4066,0.20821,0.46236,9.4003,0.21417,0.4586,7.7831,1,2.3081,12.988,12.25,6.845
9.4036,0.20956,0.46516,9.3972,0.21565,0.46134,7.8198,1,2.3181,12.998,12.25,6.845
9.4006,0.21092,0.46795,9.3941,0.21712,0.46408,7.8564,1,2.3281,13.008,12.25,6.845
9.3976,0.21227,0.47074,9.391,0.2186,0.46681,7.893,1,2.3382,13.018,12.25,6.845
9.3947,0.21363,0.47353,9.3879,0.22008,0.46955,7.9296,1,2.3482,13.028,12.25,6.845
9.3917,0.21498,0.47632,9.3848,0.22155,0.47229,7.9663,1,2.3582,13.038,12.25,6.845
9.3887,0.21634,0.47911,9.3817,0.22303,0.47503,8.0029,1,2.3683,13.048,12.25,6.845
9.3858,0.21769,0.4819,9.3786,0.22451,0.47776,8.0395,1,2.3783,13.058,12.25,6.845
9.3828,0.21905,0.48469,9.3755,0.22599,0.4805,8.0762,1,2.3883,13.068,12.25,6.845
9.3798,0.2204,0.48748,9.3724,0.22746,0.48324,8.1128,1,2.3984,13.078,12.25,6.845
9.3769,0.22176,0.49027,9.3693,0.22894,0.48598,8.1494,1,2.4084,13.088,12.25,6.845
