"U:0","U:1","U:2","UMean:0","UMean:1","UMean:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.1424,0.28894,-0.27257,9.1407,0.28417,-0.27481,11.187,1,1.9066,12.587,12.25,3.155
9.1386,0.2907,-0.2753,9.1368,0.28585,-0.27759,11.227,1,1.9167,12.597,12.25,3.155
9.1348,0.29246,-0.27804,9.1329,0.28752,-0.28037,11.268,1,1.9267,12.607,12.25,3.155
9.131,0.29421,-0.28078,9.1291,0.2892,-0.28315,11.309,1,1.9368,12.617,12.25,3.155
9.1271,0.29597,-0.28352,9.1252,0.29088,-0.28593,11.349,1,1.9468,12.627,12.25,3.155
9.1233,0.29773,-0.28626,9.1213,0.29255,-0.28871,11.39,1,1.9568,12.637,12.25,3.155
9.1195,0.29948,-0.289,9.1174,0.29423,-0.29149,11.431,1,1.9669,12.647,12.25,3.155
9.1157,0.30124,-0.29174,9.1136,0.29591,-0.29427,11.472,1,1.9769,12.657,12.25,3.155
9.1119,0.303,-0.29447,9.1097,0.29758,-0.29705,11.512,1,1.9869,12.667,12.25,3.155
9.108,0.30469,-0.29723,9.1058,0.29919,-0.29984,11.554,1,1.997,12.677,12.25,3.155
9.104,0.30636,-0.3001,9.1017,0.30077,-0.30276,11.598,1,2.007,12.687,12.25,3.155
9.0999,0.30829,-0.30313,9.0975,0.3026,-0.30584,11.642,1,2.017,12.697,12.25,3.155
9.0958,0.31023,-0.30615,9.0934,0.30443,-0.30891,11.687,1,2.0271,12.707,12.25,3.155
9.0917,0.31216,-0.30917,9.0892,0.30627,-0.31199,11.732,1,2.0371,12.717,12.25,3.155
9.0876,0.31409,-0.3122,9.085,0.3081,-0.31507,11.777,1,2.0471,12.727,12.25,3.155
9.0835,0.31602,-0.31522,9.0809,0.30993,-0.31815,11.821,1,2.0572,12.737,12.25,3.155
9.0794,0.31796,-0.31824,9.0767,0.31177,-0.32122,11.866,1,2.0672,12.747,12.25,3.155
9.0753,0.31989,-0.32127,9.0725,0.3136,-0.3243,11.911,1,2.0772,12.757,12.25,3.155
9.0713,0.32182,-0.32429,9.0684,0.31543,-0.32738,11.956,1,2.0873,12.767,12.25,3.155
9.0672,0.32375,-0.32731,9.0642,0.31727,-0.33046,12,1,2.0973,12.777,12.25,3.155
9.0631,0.32569,-0.33034,9.06,0.3191,-0.33353,12.045,1,2.1073,12.787,12.25,3.155
9.059,0.3276,-0.33337,9.0559,0.32091,-0.33661,12.09,1,2.1174,12.797,12.25,3.155
9.0546,0.32935,-0.33649,9.0515,0.32255,-0.3398,12.139,1,2.1274,12.807,12.25,3.155
9.0502,0.33149,-0.33984,9.047,0.32456,-0.34321,12.188,1,2.1375,12.817,12.25,3.155
9.0458,0.33363,-0.34319,9.0425,0.32657,-0.34663,12.238,1,2.1475,12.827,12.25,3.155
9.0414,0.33576,-0.34653,9.038,0.32858,-0.35005,12.287,1,2.1575,12.838,12.25,3.155
9.037,0.3379,-0.34988,9.0335,0.3306,-0.35347,12.337,1,2.1676,12.848,12.25,3.155
9.0326,0.34003,-0.35323,9.029,0.33261,-0.35688,12.386,1,2.1776,12.858,12.25,3.155
9.0282,0.34217,-0.35658,9.0245,0.33462,-0.3603,12.436,1,2.1876,12.868,12.25,3.155
9.0238,0.34431,-0.35992,9.02,0.33663,-0.36372,12.486,1,2.1977,12.878,12.25,3.155
9.0194,0.34644,-0.36327,9.0155,0.33865,-0.36714,12.535,1,2.2077,12.888,12.25,3.155
9.015,0.34858,-0.36662,9.011,0.34066,-0.37056,12.585,1,2.2177,12.898,12.25,3.155
9.0106,0.35071,-0.36996,9.0065,0.34267,-0.37397,12.634,1,2.2278,12.908,12.25,3.155
9.0062,0.35285,-0.37331,9.002,0.34468,-0.37739,12.684,1,2.2378,12.918,12.25,3.155
9.0016,0.35478,-0.3767,8.9973,0.34647,-0.38085,12.737,1,2.2478,12.928,12.25,3.155
8.9969,0.35706,-0.38036,8.9924,0.34859,-0.38459,12.792,1,2.2579,12.938,12.25,3.155
8.9921,0.35943,-0.38407,8.9876,0.35081,-0.3884,12.847,1,2.2679,12.948,12.25,3.155
